"attribute_0","id","price","bedrooms","bathrooms","sqm_living","sqm_lot","floors","waterfront","view","condition","grade","sqm_above","sqm_basement","yr_built","yr_renovated","zipcode","lat","long","sqm_living15","sqm_lot15","age"
57,2799800710,12.614865543731,3,2.5,5.41532390881144,6.0897009866894,"2","0","0","3",8,224.8253568,0,2003,0,98042,47.3663,-122.122,249.9091776,455.6894112,12
59,8079040320,12.9715404876697,4,3,5.14674200773308,6.83173857702058,"2","0","0","3",8,171.870624,0,1991,0,98059,47.5059,-122.149,210.8899008,713.12373504,24
60,1516000055,13.3847276418718,3,2.25,5.29702421078242,7.58720713240808,"1","0","3","4",8,147.7158336,52.0257024,1959,0,98166,47.4336,-122.339,238.7608128,244.3349952,56
61,9558200045,12.5741819670946,3,1.75,4.76266808960623,6.65978807449211,"1","0","0","3",7,117.0578304,0,1954,0,98148,47.4366,-122.335,119.8449216,728.63854272,61
63,9528102996,13.2158537204917,3,1.75,4.96333878506838,4.57461585810329,"3","0","0","3",8,143.0706816,0,2014,0,98115,47.6765,-122.32,146.7868032,332.77868928,1
64,1189001180,12.9598444479066,3,2.25,5.0383739710113,6.3233158378709,"1","0","0","3",7,103.1223744,51.096672,1979,0,98122,47.6113,-122.297,133.7803776,409.14498816,36
65,3253500160,12.6686267206225,3,2.75,5.55040368884209,5.86892305613931,"1.5","0","0","5",7,164.4383808,92.90304,1925,0,98144,47.5747,-122.304,133.7803776,403.10629056,90
67,3717000160,12.5672374947418,4,2.5,5.33803223450979,6.06799338819246,"2","0","0","3",7,208.1028096,0,2005,0,98001,47.3378,-122.257,206.33765184,442.86879168,10
69,1802000060,14.0969230174025,5,2.25,5.69470717844853,7.53515760057553,"1","0","0","3",8,148.644864,148.644864,1965,0,98004,47.6303,-122.215,314.9413056,259.75689984,50
70,1525059190,13.8547312711176,5,3.25,6.0939026735431,8.44545760908276,"1","0","0","4",11,285.2123328,157.935168,1973,0,98005,47.6525,-122.16,327.9477312,394.74501696,42
71,1049000060,12.6915804613119,3,2,4.76266808960623,6.25646353088306,"1","0","0","4",7,117.0578304,0,1972,0,98034,47.7362,-122.179,152.3609856,455.224896,43
72,8820901275,13.2551444886381,4,2,5.54315728032133,6.586577135781,"1.5","0","0","5",7,209.03184,46.45152,1916,0,98125,47.7168,-122.287,140.2835904,656.91739584,99
73,5416510140,12.7938593104323,4,2.5,5.39865685632623,6.14099428107695,"2","0","0","3",8,221.1092352,0,2005,0,98038,47.3608,-122.036,224.8253568,470.46099456,10
74,3444100400,12.7628272011846,3,1.75,5.11377198849551,8.4541037975272,"1","0","0","5",7,101.2643136,65.032128,1965,0,98042,47.3511,-122.073,180.2318976,474.64163136,50
75,3276920270,13.6321885008367,4,4,5.76411662982069,8.08981447754834,"2","0","0","4",10,222.0382656,96.6191616,1986,0,98075,47.5822,-121.987,301.0058496,355.07541888,29
76,4036801170,12.8479265317026,4,1.75,5.09687017769291,6.51943071679719,"1","0","0","3",7,81.7546752,81.7546752,1956,0,98008,47.6034,-122.125,156.0771072,632.85550848,59
78,6300000287,12.9239124386805,3,1,4.87514607303292,6.15292285194222,"1","0","0","4",7,84.5417664,46.45152,1956,0,98133,47.7073,-122.34,104.9804352,516.72670848,59
79,1531000030,13.4870064909922,4,2.5,5.76993059968611,8.21247925304032,"2","0","0","3",10,320.515488,0,2002,0,98010,47.342,-122.025,311.225184,401.24822976,13
81,7437100340,12.7938593104323,4,2.5,5.17341025481524,6.30464257260528,"2","0","0","3",7,176.515776,0,1992,0,98038,47.349,-122.031,173.7286848,562.80661632,23
82,9418400240,12.7798730684576,2,1,5.23465388005596,6.4366445231779,"1","0","0","3",7,93.8320704,93.8320704,1948,0,98118,47.5474,-122.291,159.7932288,580.73690304,67
83,1523059105,12.7826860098342,3,1.5,5.05035016205801,6.69625775427351,"1","0","0","3",8,156.0771072,0,1964,0,98059,47.4811,-122.149,171.870624,731.98305216,51
85,4232902595,13.7536351542462,3,1.5,5.29236219767661,5.81249021410491,"2","0","0","3",9,176.515776,22.2967296,1925,0,98119,47.6337,-122.365,187.6641408,458.19779328,90
86,2599001200,12.6280670555895,5,2.25,5.50988249143645,6.65978807449211,"1.5","0","0","5",7,247.1220864,0,1961,0,98092,47.2909,-122.189,147.7158336,684.78830784,54
87,3342103156,13.0411533219788,3,3.25,5.55040368884209,6.36860782706261,"2","0","0","3",9,183.9480192,73.3934016,2006,0,98056,47.5228,-122.199,176.515776,621.33553152,9
89,3869900162,12.7218858108072,2,1.75,4.56111517088439,4.5954696943865,"2","0","0","3",7,71.0708256,24.6193056,2006,0,98136,47.5394,-122.387,95.6901312,57.22827264,9
91,5036300431,13.9107116409087,5,2.75,5.79001735825285,6.38048351092724,"2","0","0","4",10,327.0187008,0,2001,0,98199,47.6506,-122.391,234.1156608,553.14470016,14
92,4168000060,11.9381932003746,3,1,4.7138779254368,6.88293162580632,"1","0","0","3",7,111.483648,0,1962,0,98023,47.322,-122.351,125.419104,29.54316672,53
93,6021501535,12.9715404876697,3,1.5,4.98898121568172,6.14099428107695,"1","0","0","3",8,119.8449216,26.9418816,1939,0,98117,47.687,-122.386,145.8577728,439.15267008,76
94,6021501535,13.4588356140255,3,1.5,4.98898121568172,6.14099428107695,"1","0","0","3",8,119.8449216,26.9418816,1939,0,98117,47.687,-122.386,145.8577728,439.15267008,76
95,1483300570,13.7156902226821,4,2.5,5.72547883711528,6.85883407422726,"1","0","0","3",7,222.0382656,84.5417664,1946,1991,98040,47.5873,-122.249,181.160928,540.2311776,24
96,3422049190,12.4191658609909,3,1.75,5.20450084188527,7.28400615704174,"1","0","0","3",7,182.0899584,0,1967,0,98032,47.3576,-122.277,162.58032,195.74670528,48
97,1099611230,12.2010601037066,4,1.5,4.67997637376112,6.38785435900847,"1","0","0","4",7,107.7675264,0,1975,0,98023,47.3036,-122.378,107.7675264,562.5279072,40
98,722079104,12.6571482648904,3,1.75,5.12488321392058,8.26445270817356,"1","0","0","5",7,112.4126784,55.741824,1980,0,98038,47.4109,-121.958,153.290016,144.65003328,35
100,1952200240,13.6539676226175,3,2.5,5.25910497592012,7.11487444500047,"1.5","0","0","5",9,117.9868608,74.322432,1910,0,98102,47.6415,-122.315,204.386688,439.15267008,105
101,5200100125,13.2267233927286,3,2,5.21465321334929,5.77801378457494,"1.5","0","0","4",7,133.7803776,50.1676416,1929,0,98117,47.6775,-122.372,149.5738944,352.38123072,86
103,2450000295,13.899851706398,3,2.5,5.60313998492304,6.62502408205577,"2","0","0","3",8,271.2768768,0,1950,2010,98004,47.5814,-122.196,220.1802048,680.60767104,5
104,6197800045,12.5776362019627,3,1,4.72217672825149,8.05553169799989,"1","0","0","3",7,112.4126784,0,1954,0,98058,47.4375,-122.184,152.3609856,178.838352,61
105,1328310370,12.8346813049525,3,2.5,5.38170729801246,6.83464133667854,"1","0","0","4",8,135.6384384,81.7546752,1978,0,98058,47.4431,-122.133,209.03184,684.50959872,37
107,3530510041,12.1468532858702,2,1.75,4.74666774825979,5.44504317318427,"1","0","0","4",8,115.1997696,0,1985,0,98198,47.3813,-122.322,117.9868608,468.60293376,30
108,1853000400,13.4298480771523,4,2.5,5.67577916856301,7.86508143507113,"2","0","0","4",10,291.7155456,0,1991,0,98077,47.7304,-122.082,277.7800896,354.70380672,24
109,3134100116,13.0604879736862,5,1.75,5.23959216169654,7.04456444854172,"2","0","0","4",7,188.5931712,0,1942,0,98052,47.6417,-122.109,232.2576,771.83845632,73
111,3362400511,13.2533916398107,3,1.75,4.76266808960623,5.73392789160181,"1","0","0","5",6,65.032128,52.0257024,1905,0,98103,47.6823,-122.349,128.2061952,360.27798912,110
113,6126500060,12.7066964068116,3,1.75,5.26392426235607,6.31813577782936,"1","0","2","3",7,100.3352832,92.90304,1971,0,98108,47.5474,-122.295,194.1673536,504.27770112,44
114,8961960160,13.0815413828841,4,2.5,5.70403850587741,7.31477588323865,"2","0","3","3",9,234.1156608,65.9611584,2001,0,98001,47.3183,-122.253,245.2640256,711.07986816,14
115,3626039325,13.51508091269,3,3.5,6.0086050930312,6.38001118154745,"2","0","0","3",8,258.2704512,148.644864,1900,1999,98117,47.6981,-122.368,170.0125632,559.09049472,16
116,3362400431,13.1586953066517,3,3.5,4.99529038487499,4.62868307937357,"3","0","0","3",8,147.7158336,0,2010,0,98103,47.6824,-122.347,150.5029248,335.8444896,5
117,4060000240,12.2328362827994,2,1,4.40372299713296,6.44553347059515,"1","0","0","4",6,81.7546752,0,1945,0,98178,47.5009,-122.248,110.5546176,584.8246368,70
118,3454800060,12.0540862885323,4,2,4.98263198800306,6.79331946711664,"1","0","0","3",6,145.8577728,0,1950,0,98168,47.4965,-122.303,174.6577152,746.29012032,65
119,1695900060,13.1900220258781,4,1,5.00779054763922,5.62415058498539,"1.5","0","0","4",7,149.5738944,0,1925,0,98144,47.587,-122.294,149.5738944,405.9862848,90
120,7278700070,13.3999951140026,3,2.5,5.40702510599675,6.3993505241469,"1","0","2","3",8,144.9287424,78.0385536,1964,0,98177,47.7728,-122.386,217.3931136,48.12377472,51
122,3626039187,12.8866410438833,2,1,4.27019160450844,6.3233158378709,"1","0","0","3",6,71.5353408,0,1953,0,98117,47.6999,-122.364,158.8641984,536.42215296,62
123,3524049083,13.0058295611484,4,1.75,5.27349371337222,6.01316090956706,"1.5","0","0","5",7,159.7932288,35.3031552,1924,0,98118,47.5299,-122.266,171.870624,432.9281664,91
125,4389200955,14.1870741143968,4,2.75,5.54315728032133,7.41013665738598,"1.5","0","0","3",8,183.9480192,71.5353408,1914,1992,98004,47.6141,-122.212,284.2833024,66.4256736,23
126,4058801670,13.0058295611484,3,2.25,5.27349371337222,6.63581246669712,"1","0","2","3",8,150.5029248,44.5934592,1967,0,98178,47.5091,-122.244,247.1220864,725.66564544,48
127,8732020310,12.4684369099977,4,2.25,5.30166459033892,6.70755730952744,"1","0","0","3",8,126.3481344,74.322432,1978,0,98023,47.3129,-122.39,194.1673536,701.97537024,37
129,7853210060,12.9715404876697,4,2.5,5.25910497592012,5.9924942727585,"2","0","0","3",7,192.3092928,0,2004,0,98065,47.5319,-121.85,183.0189888,383.03923392,11
130,3668000070,12.2643415536542,3,1.75,4.58982527676682,6.59524955335454,"1","0","0","4",7,98.4772224,0,1986,0,98092,47.2761,-122.152,131.9223168,646.97677056,29
131,9545240070,13.4007524029445,4,2.25,5.22969109071383,6.79363191829868,"1","0","0","3",8,133.7803776,52.9547328,1986,0,98027,47.5343,-122.054,191.3802624,795.80744064,29
133,8929000270,13.0241903034265,3,2.5,5.22969109071383,5.35879728368349,"2","0","0","3",8,129.1352256,57.5998848,2014,0,98029,47.5517,-121.998,157.0061376,212.93376768,1
135,921049315,12.2010601037066,3,1.75,4.80918810524112,7.38745169700904,"1","0","0","4",7,122.6320128,0,1956,0,98003,47.3257,-122.296,143.999712,248.14401984,59
136,3655000070,12.3013828253345,4,1.75,5.23465388005596,6.59079520300516,"1","0","0","3",7,93.8320704,93.8320704,1968,0,98003,47.3309,-122.299,162.58032,682.837344,47
137,4027700812,13.0214374588144,4,2.25,5.48321424435429,6.83434144163956,"1","0","0","4",8,124.4900736,116.1288,1968,0,98028,47.7689,-122.266,143.999712,26.0128512,47
138,3992700335,12.8544839322487,2,1,4.70550967576628,6.02221074508698,"1","0","0","3",6,110.5546176,0,1981,0,98125,47.7135,-122.287,98.4772224,518.77057536,34
139,2767603505,13.1614879320884,3,2.25,4.68856011745251,4.75389959978629,"3","0","0","3",8,108.6965568,0,2014,0,98107,47.6722,-122.381,125.419104,133.03715328,1
140,4232901525,13.407542319638,2,1,4.63591638396709,5.69470717844853,"1","0","0","3",7,103.1223744,0,1925,0,98119,47.6338,-122.358,108.6965568,368.54635968,90
141,1777500060,13.1762832193938,5,2.5,5.56829325359287,6.76960294049932,"1","0","0","4",8,143.999712,117.9868608,1968,0,98006,47.5707,-122.128,261.9865728,768.3081408,47
142,1432900240,12.2307652581205,3,1,5.00779054763922,6.68087372523367,"1","0","0","4",7,93.8320704,55.741824,1962,0,98058,47.4563,-122.171,149.5738944,715.53921408,53
144,6071600370,13.1223633774043,4,2.25,5.23959216169654,6.67362053480179,"1","0","0","4",8,128.2061952,60.386976,1961,0,98006,47.5495,-122.174,207.1737792,733.934016,54
145,1526069017,13.733758056092,4,2.5,5.83174803070932,10.2853156047707,"2","0","0","4",9,340.9541568,0,1994,0,98077,47.7421,-122.026,263.8446336,732.26176128,21
147,3224079105,12.9715404876697,2,2.5,5.41532390881144,8.64216790332882,"2","0","0","3",7,224.8253568,0,2007,0,98027,47.5262,-121.943,180.2318976,249.16595328,8
148,8075400570,12.4607148639038,5,2,5.34692118192704,7.0572850129511,"1","0","0","4",8,104.9804352,104.9804352,1960,0,98032,47.3887,-122.286,126.3481344,233.00082432,55
149,1994200024,13.1441248691858,3,1,4.88923081291466,5.77137882586248,"1","0","0","3",7,91.0449792,41.806368,1947,0,98103,47.6873,-122.336,134.709408,445.74878592,68
151,1324300398,13.2356920627113,3,1,4.63591638396709,6.14099428107695,"1.5","0","0","3",7,103.1223744,0,1947,0,98107,47.655,-122.359,131.9223168,470.46099456,68
152,537000445,12.5530254825707,3,1,4.75469991995705,6.63569052291305,"1","0","0","4",7,116.1288,0,1954,0,98003,47.3255,-122.304,156.0771072,720.37017216,61
153,7855801670,14.6264407741806,4,3.25,6.17636142491424,7.51976037577604,"2","0","3","3",12,328.8767616,152.3609856,2006,0,98006,47.562,-122.162,293.5736064,792.55583424,9
155,8960000030,12.2783933071098,3,1,4.69707080712042,6.56874259742557,"1","0","0","4",7,109.6255872,0,1967,0,98058,47.4479,-122.176,110.5546176,646.1406432,48
157,8731900200,12.6760762747759,4,2.75,5.50233528580107,6.54645938918511,"1","0","0","3",8,150.5029248,94.7611008,1967,0,98023,47.3135,-122.369,183.9480192,661.84125696,48
158,8029200135,12.4171436156101,3,2,4.77057326911335,6.50535957829968,"1.5","0","0","3",7,117.9868608,0,1916,2013,98022,47.2086,-121.996,107.7675264,610.18716672,2
159,1081200350,12.6760762747759,4,1.75,5.09687017769291,6.9456828363698,"1","0","0","4",8,163.5093504,0,1968,0,98059,47.4715,-122.118,160.7222592,62.61664896,47
160,84000105,12.4490188241406,5,2.25,5.25426235144434,6.68703259659868,"1","0","0","3",7,95.6901312,95.6901312,1962,0,98146,47.4877,-122.335,93.8320704,83.33402688,53
161,3756500060,12.9899741893586,3,1.75,5.10816973294684,6.79955001686727,"1","0","0","3",7,165.3674112,0,1962,0,98034,47.7171,-122.193,111.483648,786.33133056,53
162,7215720160,13.7101500423064,3,2.5,5.75533180026496,7.34113977056849,"2","0","0","3",10,315.870336,0,2000,0,98075,47.6012,-122.023,315.870336,117.70815168,15
163,3574800520,12.996800154429,3,2.75,5.17865961070138,6.51668723085144,"1","0","0","3",7,107.7675264,69.67728,1979,0,98034,47.7319,-122.224,158.8641984,683.85927744,36
164,2617300160,12.9480099902596,3,2,5.23465388005596,8.17784142512436,"1","0","0","4",7,93.8320704,93.8320704,1975,0,98027,47.4582,-122.023,196.0254144,374.77086336,40
166,2009000370,12.5059920356464,2,1.75,4.82422598260567,6.51255783750943,"1","0","0","5",5,65.032128,59.4579456,1949,0,98198,47.408,-122.327,170.0125632,792.55583424,66
167,1836980160,13.6012028553125,4,2.5,5.51737316316561,6.03541151850188,"2","0","0","3",9,248.9801472,0,1999,0,98006,47.565,-122.125,271.2768768,439.15267008,16
169,1755700060,12.82530414314,3,2,4.84636710848288,6.65213985365386,"1","0","0","5",7,127.2771648,0,1964,0,98133,47.7458,-122.331,164.4383808,616.96908864,51
170,4330600435,12.5567295171433,3,1.75,4.97624218990429,7.57607880636627,"1","0","0","3",7,144.9287424,0,1954,0,98166,47.4776,-122.337,99.4062528,664.99996032,61
171,9542800700,12.5135573452781,3,1.75,5.30166459033892,6.49726914499434,"1","0","0","4",7,155.1480768,45.5224896,1978,0,98023,47.3026,-122.374,179.3028672,621.42843456,37
173,1762600070,13.7294078589109,4,2.5,5.88739152227803,8.08699014074471,"2","0","0","3",10,238.7608128,121.7029824,1984,0,98033,47.6477,-122.182,347.4573696,358.41992832,31
174,1687900520,13.4195006086269,4,2.25,5.48321424435429,6.63447026650782,"2","0","0","4",8,240.6188736,0,1980,0,98006,47.5619,-122.125,209.9608704,697.60892736,35
175,7234600798,12.9598444479066,3,2.5,4.64488505394985,4.62686654844717,"2","0","0","3",8,76.1804928,27.870912,2008,0,98122,47.6106,-122.31,147.7158336,232.35050304,7
177,2254502445,12.8609986132699,3,1,4.73040722738801,6.10017228655669,"1","0","0","3",6,113.3417088,0,1901,0,98122,47.6101,-122.307,111.483648,458.19779328,114
179,9158100075,12.7068479334427,2,1,4.83166096109318,6.63812657771093,"1","0","0","3",7,98.4772224,26.9418816,1949,0,98177,47.7224,-122.358,143.0706816,693.70699968,66
180,3830630310,12.4684369099977,3,2.5,5.04437999507151,6.28889691100044,"2","0","0","3",7,155.1480768,0,1988,0,98030,47.3505,-122.179,155.1480768,549.14986944,27
181,8123100045,13.0604879736862,4,3,5.39865685632623,6.16568689366732,"1.5","0","0","4",7,156.0771072,65.032128,1925,0,98126,47.5384,-122.376,130.9932864,495.45191232,90
182,3127200041,13.2861814626337,4,3,5.42355440794796,6.79331946711664,"2","0","0","5",7,226.6834176,0,1961,0,98034,47.7044,-122.2,212.7479616,781.96488768,54
183,6661200320,12.0045682693194,2,1.5,4.58034653281228,5.76090447930001,"2","0","0","3",7,97.548192,0,1996,0,98038,47.3848,-122.039,97.548192,348.47930304,19
184,11510310,13.635187003833,4,2.75,5.67258937319491,7.12770619724683,"2","0","0","3",9,198.8125056,91.9740096,1993,0,98052,47.6993,-122.102,209.9608704,806.49129024,22
185,825059270,13.9062649212327,5,3,5.94010133869756,7.08490017998407,"1","0","2","4",10,194.1673536,185.80608,1986,0,98033,47.6627,-122.188,235.9737216,17.6515776,29
186,8731951370,12.502466658584,4,1.75,4.93033248860021,6.83414146163689,"1","0","0","4",8,102.193344,36.2321856,1969,0,98023,47.3099,-122.379,203.4576576,740.25142272,46
188,2264500350,13.3293775467887,4,1,4.81673531087651,5.40702510599675,"1.5","0","0","4",6,123.5610432,0,1901,0,98103,47.65,-122.34,123.5610432,432.9281664,114
189,1115810060,13.2796884421079,3,2.25,5.33355795411487,6.83673808748416,"1","0","0","3",8,132.8513472,74.322432,1975,0,98052,47.6647,-122.153,207.1737792,766.54298304,40
191,1432600560,12.0254496453718,3,1,4.70550967576628,6.70857823866155,"1","0","0","3",6,110.5546176,0,1959,0,98058,47.4616,-122.184,114.2707392,669.8309184,56
192,2287000060,13.5911162247484,3,2.5,5.29236219767661,6.8237880495574,"1","0","0","4",8,198.8125056,0,1959,0,98040,47.5505,-122.219,248.9801472,6.0386976,56
193,3663500060,12.8992198260901,3,2.5,5.31088124544384,6.54752548736711,"1","0","0","4",7,131.9223168,70.6063104,1962,0,98133,47.7606,-122.336,176.515776,657.84642624,53
195,7796450200,12.4563760073,3,2.5,5.05628489757783,6.14598182258799,"2","0","0","3",8,157.0061376,0,2003,0,98023,47.2779,-122.347,236.902752,470.5538976,12
196,7549802535,12.9551274580284,4,2,5.20958991139274,6.40027687900703,"1.5","0","0","5",7,104.9804352,78.0385536,1920,0,98108,47.5511,-122.312,139.35456,566.42983488,95
197,3278600320,13.0497926845695,3,2.5,5.29702421078242,5.93863326894526,"2","0","0","3",8,199.741536,0,2007,0,98126,47.5488,-122.372,162.58032,293.20199424,8
199,1222069094,12.8609986132699,3,1.75,4.83166096109318,9.57545234243353,"1","0","0","4",7,125.419104,0,1969,0,98038,47.4058,-121.994,144.9287424,477.5216256,46
201,2222059065,12.6014874177848,3,2.5,5.19424434171808,7.23640143879611,"2","0","0","3",8,180.2318976,0,1994,0,98042,47.3777,-122.165,188.5931712,26.84897856,21
